zone,latitude,longitude,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water,temperature,humidity,precipitation,wind_speed,BCCMASS,CH4_column_volume_mixing_ratio_dry_air_bias_corrected,CO_column_number_density,DUCMASS,NO2_column_number_density,O3_column_number_density,SO2_column_number_density,absorbing_aerosol_index,tropospheric_HCHO_column_number_density,Health_Risk_Index,Urban_Heat_Index,Real_Estate_Risk,Green_Score
0,18.68485315066851,84.33951127112498,0.2337594867982692,0.24733299088414848,0.520967577174288,0.2620405062466958,0.21880605593641497,0.4707149925916235,0.24336158370053076,0.23039306197013987,0.07480462049063133,0.5165955493140328,0.3622334585138321,0.0,0.4437869457071962,0.44045835981960485,0.7598809827565871,0.5904643982173231,0.43122584643622286,0.15760753203926386,0.6949906475744076,0.44888023819604966,0.33041178213535943,0.31565327868319915,0.38272445903937385,2.2471299433390803,0.2629344356552765,0.27498134628431914
1,18.653028666085397,83.620190049562,0.23075249107828733,0.23487723075176156,0.4104440212119385,0.1907342921848779,0.3839499976675454,0.422638791894945,0.2749098917018034,0.40128001161076493,0.016467766384641043,0.6987927197093242,0.7183408906328842,0.0,0.5848595813886653,0.0,0.7070518840858255,0.5827435704558288,0.0,0.4717498273731455,0.31117268777008217,0.4666072973615242,0.3829774916726641,0.5597202154004074,0.508390246142147,3.0468350127531862,0.4228325490453823,0.40035276348463505
2,18.2880920351022,83.861722595397,0.20107972776784275,0.4140686504419926,0.25297224576065713,0.2664220711135941,0.26527133062314767,0.3433671453378958,0.38164462855639997,0.3635121996631005,0.08378809894481866,0.8227471689138667,0.7689132446856848,0.0,0.5362750798057818,0.45518913552454027,0.7575830445907674,0.7101706128287189,0.2894817844636503,0.4276231252117479,0.3577763221724569,0.28069590287992147,0.449069517343027,0.30907496438901527,0.45168158160113187,3.3412432249832222,0.38083406355824895,0.33001092808607374
3,19.016028649181287,84.62481156519043,0.17784677534424756,0.3253866993168785,0.37881225586016665,0.15049861756542474,0.19834815520613913,0.3241870802862541,0.307332051039182,0.30919541813024415,0.11020926345127245,0.10618991033812275,0.0,0.0,0.2307692378230347,0.8978004889124304,0.6923061062388144,0.8592781825942499,0.8807691804149418,0.17136967136123454,0.7366567872564602,0.49326625179355216,0.6286156678223268,0.27532311192269554,0.4178505321125551,2.1649887287015557,0.29874205108205865,0.2789395716842146
4,18.687757345009334,83.98039031201839,0.16632319172264362,0.3691541825527731,0.5416255294765808,0.18624439957657637,0.31686381336408065,0.48579109873683596,0.24536292586859743,0.2986264117227458,0.018152582519116573,0.5830382085524385,0.5938987670540748,0.0,0.5514511762053435,0.41140437830116117,0.862461785693657,0.5494400598156791,0.40278086975837174,0.3012111455694042,0.5068043661970189,0.3046217794057174,0.38626283994289495,0.42138862014519934,0.4229896331824978,2.7498557164581423,0.3158229431169719,0.34153056961796424
5,18.443786495001092,83.6986971759639,0.16728633618742256,0.16868791931525062,0.2923159211525431,0.27609219401509505,0.5163817465566337,0.3166511979758064,0.47852027435269273,0.43439197043991395,0.028104442567106466,0.784701335546927,0.720322915327198,0.0,0.5789473635947655,0.3309517012244531,0.7113821716984541,0.6480067546436409,0.1776256718918593,0.5745020086465542,0.31197276064465773,0.2165103378702327,0.36578813368024093,0.3534330155750518,0.47360915252740643,2.7645346175911363,0.3859416895473971,0.43544074878210837
6,18.826531311588074,83.80828559889295,0.16188962527025824,0.14101272233498183,0.3068567187014227,0.10797124417292175,0.4064971750021211,0.5163090067795565,0.1775432338484076,0.5476386523907266,0.011274327631459169,0.4596498780996688,0.5483039302193868,0.0,0.4965309225914026,0.015545589170103699,0.6970447323288489,0.3636709207629397,0.015219735756572572,0.29461705375347025,0.4740259682342608,0.27019052292891993,0.33825460089693926,0.4558591449157056,0.37213838493552776,1.8772079370049346,0.25656822822240744,0.49903028005191097
7,18.20895756904748,83.68606394501394,0.15079660856576882,0.37857503121771124,0.3213995368475035,0.1885835958147533,0.2638623538710762,0.2688960424310621,0.3734556850299217,0.42042701652226877,0.05020152213320249,0.8698475433120773,0.8540334339360826,0.0,0.3983867504790141,0.38641846679279723,0.7381846283760037,0.6187219014630293,0.20739533757205922,0.6157990071341122,0.13486579036770888,0.4125057806155522,0.36228851617792723,0.34966141324156735,0.5539371143313041,3.8559293221567637,0.507366243995264,0.3431514229086697
8,18.85688165172413,84.47244156127823,0.13654361764355077,0.22647607413116033,0.3695683005440924,0.08766292249974643,0.15751316698559728,0.46257196747457663,0.15728538937739295,0.3275263043839662,0.1153237425900832,0.07169753501487026,0.05183958859534838,0.0,0.32574565697660673,0.5151592104789451,0.7228194000799985,0.7559889213431581,0.5030965953436288,0.1403477257290191,0.678736258561011,0.2981080340281186,0.5289585459061428,0.29244791896623573,0.3430312351066572,1.4789832599085673,0.2049014878991772,0.3035314957825776
9,18.368570071277922,84.04260114836868,0.12427528668820287,0.32743463322187805,0.42891551889525054,0.37339496038330805,0.431938509870467,0.3897418739356429,0.2683865093057582,0.26824113501401337,0.08203380063661937,0.7545425240735494,0.6685836288160728,0.0,0.6147137761046308,0.6374962856530288,0.6512994606039222,0.7847955419746172,0.5070883087706042,0.24480312310918767,0.522232735405823,0.3311304462798612,0.27565130668149607,0.22163145284347108,0.35508540591656745,2.7231483393773503,0.2872276220829278,0.34165049525527535
